keyword,frequency,year
Primary Industry,0.005056268,2016
Primary Industry,0.006092222,2015
Primary Industry,0.007453531,2014
Primary Industry,0.008062296,2013
Primary Industry,0.008400729,2012
Primary Industry,0.00838485,2011
Primary Industry,0.008811372,2010
Primary Industry,0.009733375,2009
Primary Industry,0.010151147,2008
Primary Industry,0.010283533,2007
Primary Industry,0.010938951,2006
Primary Industry,0.012723975,2005
Primary Industry,0.014479854,2004
Primary Industry,0.016797778,2003
Primary Industry,0.019105446,2002
Primary Industry,0.021785564,2001
Primary Industry,0.025065946,2000
Primary Industry,0.029247952,1999
Primary Industry,0.032753094,1998
Primary Industry,0.037157754,1997
Second Industry,0.192622033,2016
Second Industry,0.197380879,2015
Second Industry,0.213062502,2014
Second Industry,0.216787091,2013
Second Industry,0.227036142,2012
Second Industry,0.230894423,2011
Second Industry,0.240079413,2010
Second Industry,0.234966095,2009
Second Industry,0.236294197,2008
Second Industry,0.254843955,2007
Second Industry,0.269954347,2006
Second Industry,0.290767513,2005
Second Industry,0.307229485,2004
Second Industry,0.297001724,2003
Second Industry,0.28968482,2002
Second Industry,0.308080454,2001
Second Industry,0.326818823,2000
Second Industry,0.338708834,1999
Second Industry,0.353599643,1998
Second Industry,0.376416044,1997
Tertiary Industry,0.802321699,2016
Tertiary Industry,0.796526899,2015
Tertiary Industry,0.779483968,2014
Tertiary Industry,0.775150613,2013
Tertiary Industry,0.764563129,2012
Tertiary Industry,0.760720727,2011
Tertiary Industry,0.751109215,2010
Tertiary Industry,0.75530053,2009
Tertiary Industry,0.753554656,2008
Tertiary Industry,0.734872512,2007
Tertiary Industry,0.719106702,2006
Tertiary Industry,0.696508511,2005
Tertiary Industry,0.678290661,2004
Tertiary Industry,0.686200499,2003
Tertiary Industry,0.691209733,2002
Tertiary Industry,0.670133982,2001
Tertiary Industry,0.648115231,2000
Tertiary Industry,0.632043213,1999
Tertiary Industry,0.613647263,1998
Tertiary Industry,0.586426202,1997
